ORIGIN_AIRPORT_ID,Year,Origin Airport Code,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs),Origin City Name,Origin Airport Name
10017,2020,A04,9,13,52,25,1.444444444,5.777777778,65.88888889,60.07692308,"10,100",0,0,9,13,52,25,1.444444444,5.777777778,65.88888889,60.07692308,"10,100",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2021,A04,12,17,67,25.4,1.416666667,5.583333333,58.91666667,73,"13,050",0,0,12,17,67,25.4,1.416666667,5.583333333,58.91666667,73,"13,050",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2022,A04,7,13,42,31,1.857142857,6,71.28571429,81,"8,400",0,0,7,13,42,31,1.857142857,6,71.28571429,81,"8,400",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2023,A04,7,16,41,39,2.285714286,5.857142857,81,81,"7,950",0,0,7,16,41,39,2.285714286,5.857142857,81,81,"7,950",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10017,2024M1-10,A04,1,3,6,50,3,6,81,81,"1,200",0,0,1,3,6,50,3,6,81,81,"1,200",0,0,,,,,,,,,,,,,,,,,,,,,,,Red Lake (A04),Red Lake Airport (A04)
10019,2023,A06,19,0,38,0,0,2,79,,"99,750","46,630",0,19,0,38,0,0,2,79,,"99,750","46,630",0,,,,,,,,,,,,,,,,,,,,,,,Kougarok (A06),Navigator Airstrip (A06)
10019,2024M1-10,A06,115,8,244,3.3,0.069565217,2.12173913,78.79130435,67,"600,250","94,373",0,115,8,244,3.3,0.069565217,2.12173913,78.79130435,67,"600,250","94,373",0,,,,,,,,,,,,,,,,,,,,,,,Kougarok (A06),Navigator Airstrip (A06)
10020,2015,A07,1,0,0,,0,0,24,,"5,600","1,724","1,572",1,0,0,,0,0,24,,"5,600","1,724","1,572",,,,,,,,,,,,,,,,,,,,,,,Selawik (A07),Roland Norton Memorial (A07)
10022,2022,A09,1,0,8,0,0,8,125,,"1,900",0,0,1,0,8,0,0,8,125,,"1,900",0,0,,,,,,,,,,,,,,,,,,,,,,,Johnstone Point (A09),Johnstone Point Airport (A09)
10030,2016,A17,1,2,2,100,2,2,31,31,912,0,0,1,2,2,100,2,2,31,31,912,0,0,,,,,,,,,,,,,,,,,,,,,,,Port Vita (A17),Port Vita Airport (A17)
